location,year,mid,high
NAS Key West,2019,0,0
NAS Key West,2050,1.1,1.7
NAS Key West,2070,2.0,3.2
NAS Key West,2100,3.8,6.2
Langley Air Force Base,2019,0,0
Langley Air Force Base,2050,1.4,2.0
Langley Air Force Base,2070,2.5,3.6
Langley Air Force Base,2100,4.5,6.9
Kings Bay,2019,0,0
Kings Bay,2050,1.1,1.7
Kings Bay,2070,1.9,3.1
Kings Bay,2100,3.7,6.1
NAS Oceana Dam Neck,2019,0,0
NAS Oceana Dam Neck,2050,1.4,2.0
NAS Oceana Dam Neck,2070,2.5,3.6
NAS Oceana Dam Neck,2100,4.5,6.9
Parris Island,2019,0,0
Parris Island,2050,1.2,1.8
Parris Island,2070,2.1,3.3
Parris Island,2100,4.0,6.4